from,https://tools.miku.ac/gpu_rank/,https://tools-api-cn.hazymoon.vip/gpu_rank,
,name,score,percentage
158,Radeon RX 6600M,8485,32
159,Radeon R9 290,8438,32
160,Radeon Pro Duo,8395,31
161,Radeon R9 290X / 390X,8389,31
162,FirePro W9100 Adapter,8299,31
163,Radeon Pro 5500 XT,8289,31
164,15FF,8229,31
165,GeForce GTX 1060 (Mobile),8161,31
166,Radeon R9 290 / 390,8150,31
167,Quadro K6000,8126,30
168,GeForce GTX 1060 5GB,8069,30
169,GeForce GTX 780,8040,30
170,T1200 Laptop GPU,8037,30
171,Radeon RX 470/570,8028,30
172,Radeon RX 470,8005,30
173,Radeon Ryzen 5 4600HS,7942,30
174,GeForce GTX 1060 with Max-Q Design,7929,30
175,Quadro M5500,7915,30
176,Radeon Pro WX 7100,7812,29
177,Radeon RX 580X,7798,29
178,T1000,7780,29
179,GeForce GTX 1650,7759,29
180,Radeon Pro 580,7753,29
181,FirePro W9100,7750,29
182,Radeon RX 580 2048SP,7719,29
183,Tesla M60,7692,29
184,FirePro W8100 Graphic Adapter,7570,28
185,Radeon Pro 580X,7540,28
186,Radeon Pro 5300,7520,28
187,Tesla M6,7509,28
188,Radeon RX 5600M,7469,28
189,GeForce GTX 1650 Ti,7449,28
190,Ryzen 7 5800HS with Radeon Graphics,7391,28
191,Radeon RX 5300,7350,28
192,RadeonT RX 5300,7321,27
193,GeForce GTX 980M,7311,27
194,FirePro W8100,7234,27
195,Tesla P100-PCIE-16GB,7225,27
196,Quadro T2000,7157,27
197,T600 Laptop GPU,7038,26
198,Ryzen 7 4800HS with Radeon Graphics,6999,26
199,Quadro P2000,6984,26
200,GeForce GTX 1650 (Mobile),6969,26
201,Radeon RX 570,6967,26
202,Quadro M5000M,6919,26
203,Quadro T2000 with Max-Q Design,6847,26
204,Radeon RX Vega M GH,6785,25
205,T600,6743,25
206,GeForce GTX 970XM FORCE,6707,25
207,Quadro M4000M,6699,25
208,Radeon R9 285,6680,25
209,Quadro M4000,6640,25
210,Radeon Pro 5500M,6613,25
211,Radeon Pro 570X,6605,25
212,GTX 980M,6594,25
213,Radeon RX580,6494,24
214,Quadro T1000 with Max-Q Design,6466,24
215,Quadro T1000,6465,24
216,Radeon Ryzen 7 4800H,6398,24
217,Radeon Pro 570,6337,24
218,GeForce GTX 1050 Ti,6331,24
219,FirePro S7150,6276,24
220,Radeon R9 380,6242,23
221,Radeon R9 280X,6236,23
222,GeForce GTX 1650 Ti with Max-Q Design,6232,23
223,Quadro P3000,6176,23
224,FirePro W9000,6138,23
225,Radeon R9 380X,6121,23
226,Radeon Pro WX Vega M GL,6049,23
227,GeForce GTX 960,6041,23
228,P106-100,5967,22
229,GRID P100-16Q,5945,22
230,Radeon Pro Vega 20,5942,22
231,Quadro K5200,5920,22
232,GeForce GTX 1050 Ti (Mobile),5919,22
233,Radeon Ryzen 9 5900HS,5886,22
234,GeForce GTX 970M,5877,22
235,GeForce GTX 1650 with Max-Q Design,5875,22
236,GeForce GTX 770,5871,22
237,Device,5756,22
238,Radeon Pro WX 7130,5722,21
239,Radeon Pro 5300M,5714,21
240,Quadro M3000M,5660,21
241,GeForce GTX 690,5625,21
242,Radeon Pro WX 5100,5607,21
243,Radeon R9 280,5592,21
244,Radeon HD 7990,5566,21
245,FirePro W7100 Adapter,5554,21
246,Radeon R9 285 / 380,5550,21
247,GeForce GTX 1050 Ti with Max-Q Design,5526,21
248,GRID M60-8A,5523,21
249,GeForce GTX 680,5485,21
250,GeForce GTX 760 Ti OEM,5427,20
251,GeForce GTX 950,5413,20
252,GeForce GTX 670,5350,20
253,Radeon HD 7970 / R9 280X,5248,20
254,FirePro S10000,5235,20
255,Radeon HD 8990,5214,20
256,Radeon Ryzen 9 4900H,5192,19
257,TITAN X,5187,19
258,GeForce GTX 760 Ti,5176,19
259,Q12U-1,5164,19
260,RADEON R9 M295X,5150,19
261,GTX 965M,5139,19
262,GeForce GTX 1050,5131,19
263,Radeon Ryzen 5 5600H,5084,19
264,FirePro S9000,5059,19
265,RADEON R9 M395,5023,19
266,Quadro P2000 with Max-Q Design,4993,19
267,Ryzen 9 5900HS with Radeon Graphics,4968,19
268,EIZO Quadro MED-XN51LP,4955,19
269,Barco MXRT 7600,4944,19
270,Radeon R9 270X,4903,18
271,Radeon R9 M390X,4893,18
272,Radeon Ryzen 9 5900HX,4889,18
273,FirePro W7100,4884,18
274,Radeon R9 M485X,4842,18
275,GRID RTX6000P-6Q,4819,18
276,RADEON R9 M395X,4775,18
277,GeForce GTX 760,4769,18
278,Radeon HD 7950 / R9 280,4765,18
279,FirePro W8000 Adapter,4752,18
280,Radeon Sky 500,4736,18
281,GRID P40-24Q,4728,18
282,Radeon R9 370,4722,18
283,Radeon Pro Vega 16,4683,18
284,Radeon HD 7870,4655,17
285,Radeon HD 7950,4651,17
286,B8DKMDAP,4557,17
287,Radeon Pro 465,4538,17
288,GeForce GTX 580,4494,17
289,Quadro P1000,4472,17
290,Radeon HD 7870 XT,4470,17
291,GeForce GTX 1050 (Mobile),4462,17
292,GRID M60-1B,4457,17
293,P104-100,4450,17
294,Citrix Indirect Display Adapter,4447,17
295,Radeon R7 370,4444,17
296,GRID P6-4Q,4429,17
297,Quadro M2200,4402,17
298,GeForce GTX 660 Ti,4373,16
299,FirePro W7000 Adapter,4340,16
300,GRID GTX P40-6,4340,16
301,Quadro K4200,4334,16
302,Barco MXRT 7500,4319,16
303,GRID M60-2Q,4316,16
304,Radeon R9 270,4306,16
305,GRID P40-2Q,4288,16
306,GRID T4-8Q,4284,16
307,GRID RTX6000P-4Q,4283,16
308,FirePro W7000,4275,16
309,GeForce GTX 680MX,4271,16
310,Radeon HD 7870 (Tahiti LE),4268,16
311,Radeon R9 270 / R7 370,4260,16
312,GRID M60-1Q,4251,16
313,GeForce GTX 775M,4222,16
314,FirePro S7000,4166,16
315,GRID V100D-8Q,4156,16
316,Radeon RX 560X,4124,15
317,Radeon RX 460,4095,15
318,GeForce GTX 750Ti,4053,15
319,Radeon RX 5500M,4050,15
320,GeForce GTX 880M,4040,15
321,Radeon HD 7800-serie,4029,15
322,GRID P6-2Q,4001,15
323,GeForce GTX 965M,3995,15
324,GeForce GTX 660,3990,15
325,GeForce GTX 480,3986,15
326,Quadro M2000,3985,15
